Algorithm,alpha,l2_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR-EN(5),0.000382204,0.099132363,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0.056204997,0.077549585,0.996158649,0.984833192,0.061716634,0.082457137,0.961187504,0.743807497,0.066375269,0.089061633,0.960332429,0.787031345
LR-EN(5),0.001565219,0.002066648,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.055202031,0.0762137,0.99627153,0.985296316,0.059389466,0.079791899,0.96116322,0.750028817,0.062856284,0.085559517,0.96191245,0.796690866
LR-EN(5),0.000406252,0.275608865,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.055204854,0.077101661,0.996186877,0.984947012,0.059282043,0.080379418,0.961470621,0.752933285,0.062168918,0.085262754,0.962636167,0.801946469
LR-EN(5),0.000134857,0.245353459,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.055043711,0.077080677,0.996190968,0.984954564,0.059012034,0.080185959,0.961333585,0.753213362,0.061790766,0.084915202,0.962702296,0.803150379
LR-EN(5),0.000115179,0.185433352,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.054528394,0.075974921,0.996299395,0.985377726,0.058414954,0.078998458,0.960999837,0.753295972,0.061586903,0.084245827,0.962455638,0.802218216
LR-EN(5),0.000147554,0.170035611,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.054540047,0.075975359,0.996299167,0.985377566,0.058436127,0.07901393,0.961013753,0.753267695,0.061615922,0.084277782,0.962447025,0.802093908
LR-EN(5),0.000101596,0.565113281,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.055046777,0.077081856,0.996190819,0.984954136,0.059020305,0.080198316,0.961349823,0.753306315,0.061804567,0.084936282,0.962715026,0.803164749
LR-EN(5),0.000319741,0.096485178,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.054610751,0.075982008,0.99629764,0.98537527,0.058545411,0.079090899,0.961061449,0.753029352,0.061766319,0.084425757,0.962395497,0.801472954
LR-EN(5),0.000240703,0.114845361,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.055081135,0.077083293,0.996190218,0.984953663,0.059071498,0.080220678,0.96135522,0.753073488,0.061871558,0.084980424,0.962675069,0.802846073
LR-EN(5),0.000318541,0.15534933,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.054620543,0.075983269,0.996297356,0.985374792,0.05856234,0.079106731,0.961086668,0.753091448,0.0617934,0.084458413,0.962397178,0.801388496
LR-EN(5),0.000115777,0.223399173,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.05452839,0.07597503,0.996299356,0.985377684,0.058417916,0.079002047,0.961006805,0.753312072,0.06159127,0.084254407,0.962456291,0.802197256
LR-EN(5),0.000767391,0.124402403,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.054839691,0.076039522,0.996289728,0.985355293,0.058899577,0.079375849,0.961213008,0.752296293,0.062247314,0.084931331,0.962241738,0.799507864
LR-EN(5),0.000356111,0.165299112,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.055147976,0.07709221,0.996188516,0.984950508,0.059183228,0.080300203,0.961411919,0.752964812,0.062027066,0.085123166,0.962648426,0.802356521
LR-EN(7),0.000547218,0.075862803,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0.054555006,0.075539203,0.996349302,0.985580108,0.059505029,0.079789967,0.961220013,0.752158956,0.063820339,0.086187251,0.96135296,0.796576976
LR-EN(7),0.00011614,0.213384502,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0.054255316,0.074960247,0.996389604,0.985731307,0.058837743,0.078812657,0.962054264,0.751481982,0.062120127,0.084539363,0.962616917,0.794438907
LR-EN(7),0.000111136,0.257842255,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0.054888652,0.076863583,0.99621184,0.985035722,0.059035574,0.080186756,0.961171343,0.753278849,0.061853086,0.084891949,0.962648043,0.803556788
LR-EN(7),0.000509128,0.605265848,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.05408215,0.074612844,0.99641879,0.985862881,0.058198459,0.078133334,0.961974976,0.757546722,0.061776685,0.083849244,0.962863997,0.80163232
LR-EN(7),0.000253619,0.111096841,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0.053861321,0.074498884,0.99643345,0.985905685,0.057880551,0.077769424,0.961462688,0.756692166,0.061382214,0.083362413,0.962651741,0.801866116
LR-EN(7),0.000147566,0.219481075,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0.054793988,0.076350042,0.99627509,0.985281601,0.059818574,0.080614154,0.961318387,0.751467049,0.063696543,0.086363332,0.96160857,0.79838615
LR-EN(7),0.000128826,0.217714511,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0.054217066,0.075699863,0.996325264,0.985479285,0.058299772,0.07895729,0.96097238,0.754246181,0.061328022,0.084041814,0.962530008,0.803091101
