Algorithm,epochs,layers,neurons,batch_size,learning_rate,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
NN(7),121,2,26,206,0.02235531,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.045855902,0.060921329,0.997529578,0.98997103,0.047916692,0.063446668,0.984602599,0.937935488,0.061340856,0.077236866,0.977095759,0.897279772
NN(7),40,3,46,773,0.007413486,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.040746407,0.05455232,0.998112807,0.992478687,0.05133066,0.06746889,0.982028465,0.92900365,0.050662029,0.063766003,0.984323693,0.939857703
NN(7),122,2,32,181,0.03394875,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0.042431966,0.056053543,0.998001183,0.991997252,0.050626171,0.066192413,0.980643494,0.920534082,0.060110453,0.074209419,0.97386766,0.904249264
NN(7),61,3,36,158,0.0068015,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0.038688013,0.052213317,0.998234923,0.992965378,0.049352108,0.065030637,0.983680309,0.933969326,0.05461776,0.069729628,0.976138457,0.905195021
NN(7),29,2,41,163,0.016516412,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.041740533,0.055561216,0.998102558,0.992358064,0.048489277,0.063414469,0.983126256,0.930563752,0.048272783,0.061979103,0.988005706,0.951150339
NN(7),138,4,32,316,0.016315614,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0.038204434,0.050940954,0.998359469,0.993435994,0.048366136,0.062659878,0.983805593,0.932850434,0.052389813,0.065453085,0.982422595,0.933409865
NN(7),101,2,22,83,0.010333216,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0.039684808,0.052970791,0.998124961,0.992634899,0.046647258,0.060906466,0.985886036,0.943294079,0.049182602,0.063446504,0.984201909,0.931233424
NN(10),85,3,26,181,0.030904601,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.038779308,0.051810007,0.998280078,0.99321211,0.051034681,0.066492717,0.984477306,0.938095826,0.06831178,0.082045908,0.941379134,0.779435193
NN(10),187,4,21,49,0.009014327,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0.03789127,0.050145093,0.998260815,0.993217309,0.061824611,0.078023981,0.980720239,0.925799473,0.070233637,0.086717322,0.958904397,0.872654923
NN(10),138,2,19,238,0.047735074,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0.042379992,0.05621272,0.998119503,0.992394103,0.053483966,0.068157266,0.980723386,0.924665209,0.056639939,0.069996202,0.977673145,0.907467603
