Algorithm,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
RF(10),111,16,2,4,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0.021213293,0.000896363,0.999422233,0.997701045,0.068252078,0.087373316,0.977097639,0.904534543,0.077711394,0.009375872,0.961182068,0.839191561
RF(10),123,13,4,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.016594807,0.000543475,0.999648606,0.998600333,0.065611195,0.08336992,0.978767998,0.912794242,0.072610693,0.008500246,0.962276396,0.852470891
RF(10),135,17,7,3,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0.019081249,0.000739882,0.999520973,0.998093298,0.065726964,0.083514548,0.979173211,0.914469678,0.072318357,0.008374182,0.962710343,0.85404569
RF(10),153,19,5,3,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.018260521,0.000683589,0.999556882,0.998235641,0.065541114,0.08338067,0.979093071,0.91418048,0.071773912,0.008137137,0.96351296,0.857085065
RF(10),206,13,6,3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.01895678,0.000719863,0.999534369,0.998146313,0.065707709,0.083564449,0.978876641,0.912997369,0.072538892,0.008417686,0.96242597,0.852638769
RF(10),282,13,8,2,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0.018997703,0.000709293,0.999543287,0.998181597,0.067818505,0.085955937,0.977524434,0.90767614,0.076203111,0.008960559,0.961230703,0.842138715
RF(10),229,16,10,4,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.022521267,0.001013353,0.999342487,0.997384937,0.066064052,0.08393546,0.978916026,0.913088733,0.072510297,0.008419367,0.962938295,0.854411213
RF(10),248,13,6,4,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.021418298,0.000915952,0.999406463,0.997639112,0.065903364,0.083759579,0.978992797,0.913336757,0.07256106,0.008421947,0.96266721,0.853218128
RF(10),83,13,2,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.016721478,0.000553954,0.999641891,0.998573291,0.0655681,0.083341606,0.978804121,0.913026078,0.071251786,0.007957875,0.964196819,0.860565594
RF(10),117,16,4,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.015212296,0.000476927,0.999691043,0.998768863,0.065420488,0.08328786,0.978902904,0.913460728,0.071529644,0.008076154,0.963689005,0.858024285
RF(10),198,16,7,3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.018888219,0.000732252,0.99952639,0.998114725,0.065686107,0.083554596,0.978921771,0.912994804,0.072198362,0.008360224,0.963095552,0.854997697
RF(10),125,13,6,3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.01903427,0.000725636,0.999530446,0.998130687,0.065521693,0.083370134,0.979239506,0.914550437,0.072645393,0.00847434,0.962478769,0.852538345
RF(10),264,15,5,3,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.01832741,0.000685836,0.999555321,0.998229394,0.06554146,0.083326797,0.979014351,0.913828285,0.071700643,0.008099411,0.963433069,0.856772635
RF(10),295,17,5,2,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0.015863661,0.000518882,0.999664377,0.998663007,0.065770322,0.083616023,0.978928496,0.913600554,0.072282899,0.008370477,0.962662763,0.853561205
RF(15),70,16,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013757252,0.000398031,0.999744242,0.998980321,0.072399189,0.091721415,0.974783271,0.897606872,0.080593416,0.01002143,0.961055457,0.848835334
RF(15),224,18,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013423441,0.000381588,0.999754987,0.999023036,0.072163974,0.091580984,0.975041648,0.898715766,0.080117089,0.00985087,0.961232779,0.849932488
