Algorithm,alpha,l2_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR-EN(7),0.000222258,0.193201125,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0.0540461,0.005697681,0.996382215,0.985704575,0.058942167,0.079175552,0.961876029,0.747729832,0.0634201,0.008180982,0.961326985,0.787394816
LR-EN(7),0.00017085,0.292459926,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0.053947981,0.005630248,0.996422095,0.985861407,0.057918271,0.077846426,0.961527875,0.756563874,0.061323768,0.007597709,0.962809535,0.802732601
LR-EN(7),0.001757471,0.042897468,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0.055121039,0.005852184,0.996279323,0.985331711,0.059801901,0.080310577,0.961208483,0.749823749,0.062928349,0.007999495,0.962051987,0.79733455
LR-EN(10),0.000378273,0.176949841,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0.053427977,0.005494478,0.996508507,0.986203676,0.058437262,0.078005725,0.962116115,0.7493178,0.062866132,0.007961435,0.961742065,0.789024594
LR-EN(10),0.000410583,0.009304581,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0.053388582,0.005492564,0.996509663,0.986206408,0.058298632,0.077821392,0.962193151,0.751721506,0.062798436,0.007914175,0.961968161,0.791448652
LR-EN(10),0.000245405,0.256175006,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0.053719329,0.005579143,0.996454608,0.98599048,0.058480076,0.078397869,0.961206155,0.75465087,0.062489468,0.007703251,0.962418522,0.801258231
LR-EN(10),0.000353898,0.319905271,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0.053436976,0.005493622,0.996508062,0.986203269,0.058469467,0.078006428,0.962284737,0.750562541,0.063077194,0.007994728,0.961770185,0.789002316
LR-EN(10),0.00043787,0.110553166,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0.053865746,0.005561436,0.996472231,0.986060196,0.058784538,0.078492018,0.961550005,0.755580509,0.063080129,0.007807941,0.962155917,0.800393247
LR-EN(10),0.000128168,0.247071731,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0.053738095,0.005595536,0.996442922,0.985941464,0.058293351,0.078227719,0.961465064,0.755450703,0.062249447,0.007732996,0.962296706,0.800057831
LR-EN(10),0.000139856,0.241461598,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0.054607973,0.005861275,0.99628423,0.98531808,0.059877786,0.080831829,0.961439377,0.75347154,0.063927896,0.008084041,0.961481125,0.797870189
LR-EN(10),0.000439401,0.151053297,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0.054145698,0.005728723,0.996369983,0.985660977,0.05905155,0.079600371,0.961251261,0.753451478,0.063323617,0.007973268,0.961549351,0.798386069
LR-EN(10),0.000454257,0.020291186,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0.053708289,0.005538545,0.996486889,0.986116631,0.058613328,0.078324172,0.961674797,0.756820819,0.063162773,0.00783668,0.961948924,0.799462384
LR-EN(10),0.000116063,0.170096103,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0.054105495,0.005766647,0.996338275,0.985530727,0.058764655,0.079404811,0.960861987,0.751531774,0.062215425,0.007839939,0.962062525,0.80072886
LR-EN(10),0.000271749,0.129458388,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0.053742707,0.005592452,0.996445802,0.985955622,0.058233477,0.078089893,0.961376219,0.754152544,0.062007749,0.007679372,0.962404795,0.801083202
LR-EN(10),0.00012836,0.085731969,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0.053378256,0.005469732,0.996528889,0.986276588,0.058749631,0.078431774,0.961839515,0.747455295,0.063905874,0.008177443,0.96043521,0.780811342
